"date","close","volume","open","high","low"
"16:00","0.0298","215,983","N/A","0.03","0.0287"
"2016/08/25","0.0298","215983.0000","0.0287","0.0300","0.0287"
"2016/08/24","0.0287","403831.0000","0.0292","0.0300","0.0284"
"2016/08/23","0.0285","172786.0000","0.0300","0.0339","0.0284"
"2016/08/22","0.0300","1253677.0000","0.0320","0.0340","0.0280"
"2016/08/19","0.0312","113764.0000","0.0310","0.0351","0.0310"
"2016/08/18","0.0330","334197.0000","0.0330","0.0352","0.0310"
"2016/08/17","0.0322","388756.0000","0.0350","0.0352","0.0320"
"2016/08/16","0.0352","181918.0000","0.0350","0.0398","0.0350"
"2016/08/15","0.0357","155939.0000","0.0370","0.0398","0.0351"
"2016/08/12","0.0375","548000.0000","0.0337","0.0500","0.0337"
"2016/08/11","0.0390","174558.0000","0.0359","0.0390","0.0337"
"2016/08/10","0.0350","162035.0000","0.0335","0.0365","0.0335"
"2016/08/09","0.0340","230348.0000","0.0365","0.0365","0.0330"
"2016/08/08","0.0357","1430069.0000","0.0270","0.0440","0.0270"
"2016/08/05","0.0275","580489.0000","0.0291","0.0291","0.0274"
"2016/08/04","0.0291","631153.0000","0.0280","0.0302","0.0280"
"2016/08/03","0.0300","370640.0000","0.0300","0.0300","0.0290"
"2016/08/02","0.0295","562240.0000","0.0310","0.0320","0.0294"
"2016/08/01","0.0310","139720.0000","0.0313","0.0330","0.0310"
"2016/07/29","0.0326","409004.0000","0.0310","0.0340","0.0300"
"2016/07/28","0.0312","180828.0000","0.0310","0.0320","0.0300"
"2016/07/27","0.0317","155605.0000","0.0330","0.0350","0.0311"
"2016/07/26","0.0340","97882.0000","0.0331","0.0360","0.0330"
"2016/07/25","0.0345","241915.0000","0.0334","0.0350","0.0330"
"2016/07/22","0.0345","101480.0000","0.0360","0.0370","0.0344"
"2016/07/21","0.0360","255779.0000","0.0340","0.0360","0.0330"
"2016/07/20","0.0340","133292.0000","0.0345","0.0360","0.0340"
"2016/07/19","0.0343","189978.0000","0.0343","0.0364","0.0340"
"2016/07/18","0.0360","777855.0000","0.0310","0.0370","0.0310"
"2016/07/15","0.0320","142813.0000","0.0310","0.0335","0.0310"
"2016/07/14","0.0325","309006.0000","0.0310","0.0330","0.0310"
"2016/07/13","0.0313","214829.0000","0.0325","0.0325","0.0310"
"2016/07/12","0.0328","551612.0000","0.0325","0.0335","0.0310"
"2016/07/11","0.0335","240359.0000","0.0325","0.0350","0.0325"
"2016/07/08","0.0330","465347.0000","0.0320","0.0365","0.0287"
"2016/07/07","0.0350","336776.0000","0.0300","0.0350","0.0300"
"2016/07/06","0.0300","171574.0000","0.0285","0.0329","0.0285"
"2016/07/05","0.0330","49176.0000","0.0281","0.0330","0.0281"
"2016/07/01","0.0329","435454.0000","0.0310","0.0330","0.0286"
"2016/06/30","0.0310","315862.0000","0.0300","0.0330","0.0300"
"2016/06/29","0.0291","116493.0000","0.0305","0.0321","0.0281"
"2016/06/28","0.0321","885857.0000","0.0305","0.0329","0.0290"
"2016/06/27","0.0332","354787.0000","0.0320","0.0345","0.0305"
"2016/06/24","0.0321","298214.0000","0.0337","0.0355","0.0321"
"2016/06/23","0.0345","150434.0000","0.0338","0.0353","0.0334"
"2016/06/22","0.0336","159084.0000","0.0370","0.0370","0.0333"
"2016/06/21","0.0369","110020.0000","0.0330","0.0374","0.0330"
"2016/06/20","0.0365","152717.0000","0.0340","0.0385","0.0340"
"2016/06/17","0.0355","181145.0000","0.0355","0.0385","0.0350"
"2016/06/16","0.0385","197408.0000","0.0390","0.0390","0.0355"
"2016/06/15","0.0372","78527.0000","0.0350","0.0390","0.0341"
"2016/06/14","0.0355","61393.0000","0.0390","0.0390","0.0330"
"2016/06/13","0.0355","290307.0000","0.0395","0.0395","0.0330"
"2016/06/10","0.0375","66731.0000","0.0350","0.0395","0.0350"
"2016/06/09","0.0382","206826.0000","0.0425","0.0450","0.0362"
"2016/06/08","0.0425","703612.0000","0.0350","0.0450","0.0328"
"2016/06/07","0.0350","270140.0000","0.0360","0.0379","0.0350"
"2016/06/06","0.0350","249723.0000","0.0380","0.0385","0.0350"
"2016/06/03","0.0375","363860.0000","0.0395","0.0411","0.0360"
"2016/06/02","0.0396","252227.0000","0.0400","0.0414","0.0388"
"2016/06/01","0.0415","432529.0000","0.0405","0.0440","0.0400"
"2016/05/31","0.0405","207396.0000","0.0425","0.0449","0.0405"
"2016/05/27","0.0420","302225.0000","0.0400","0.0436","0.0390"
"2016/05/26","0.0400","174274.0000","0.0400","0.0450","0.0400"
"2016/05/25","0.0430","370386.0000","0.0403","0.0444","0.0400"
"2016/05/24","0.0457","61529.0000","0.0401","0.0458","0.0401"
"2016/05/23","0.0410","166269.0000","0.0405","0.0449","0.0400"
"2016/05/20","0.0449","100335.0000","0.0430","0.0449","0.0403"
"2016/05/19","0.0435","149973.0000","0.0440","0.0460","0.0410"
"2016/05/18","0.0441","313692.0000","0.0401","0.0450","0.0401"
"2016/05/17","0.0430","200287.0000","0.0418","0.0457","0.0401"
"2016/05/16","0.0437","382676.0000","0.0457","0.0468","0.0411"
"2016/05/13","0.0467","157708.0000","0.0458","0.0468","0.0445"
"2016/05/12","0.0450","280906.0000","0.0465","0.0468","0.0445"
"2016/05/11","0.0500","109995.0000","0.0450","0.0500","0.0450"
"2016/05/10","0.0479","372795.0000","0.0497","0.0497","0.0441"
"2016/05/09","0.0497","177751.0000","0.0460","0.0500","0.0460"
"2016/05/06","0.0480","98903.0000","0.0440","0.0500","0.0440"
"2016/05/05","0.0450","330411.0000","0.0510","0.0510","0.0450"
"2016/05/04","0.0490","453595.0000","0.0515","0.0515","0.0460"
"2016/05/03","0.0515","337052.0000","0.0475","0.0515","0.0470"
"2016/05/02","0.0470","213533.0000","0.0475","0.0515","0.0460"
"2016/04/29","0.0475","566241.0000","0.0510","0.0570","0.0461"
"2016/04/28","0.0530","127038.0000","0.0530","0.0570","0.0530"
"2016/04/27","0.0570","190101.0000","0.0535","0.0575","0.0520"
"2016/04/26","0.0540","652708.0000","0.0560","0.0570","0.0480"
"2016/04/25","0.0570","300484.0000","0.0545","0.0575","0.0505"
"2016/04/22","0.0575","445119.0000","0.0500","0.0600","0.0500"
"2016/04/21","0.0500","211242.0000","0.0480","0.0540","0.0460"
"2016/04/20","0.0540","378180.0000","0.0530","0.0540","0.0480"
"2016/04/19","0.0540","490886.0000","0.0460","0.0600","0.0460"
"2016/04/18","0.0545","449393.0000","0.0530","0.0550","0.0456"
"2016/04/15","0.0525","478705.0000","0.0449","0.0527","0.0449"
"2016/04/14","0.0480","1692552.0000","0.0600","0.0600","0.0440"
"2016/04/13","0.0600","865902.0000","0.0540","0.0657","0.0540"
"2016/04/12","0.0563","1096812.0000","0.0560","0.0690","0.0540"
"2016/04/11","0.0560","5135424.0000","0.0858","0.0880","0.0534"
"2016/04/08","0.0850","7022461.0000","0.0510","0.0960","0.0500"
"2016/04/07","0.0510","3935857.0000","0.0355","0.0520","0.0355"
"2016/04/06","0.0390","1062589.0000","0.0320","0.0395","0.0310"
"2016/04/05","0.0330","600200.0000","0.0320","0.0350","0.0310"
"2016/04/04","0.0320","811253.0000","0.0330","0.0350","0.0310"
"2016/04/01","0.0345","874558.0000","0.0375","0.0384","0.0320"
"2016/03/31","0.0375","1294487.0000","0.0275","0.0380","0.0270"
"2016/03/30","0.0314","1204494.0000","0.0280","0.0320","0.0260"
"2016/03/29","0.0280","958884.0000","0.0310","0.0310","0.0260"
"2016/03/28","0.0310","442919.0000","0.0300","0.0320","0.0280"
"2016/03/24","0.0320","196968.0000","0.0320","0.0320","0.0280"
"2016/03/23","0.0300","466343.0000","0.0310","0.0320","0.0270"
"2016/03/22","0.0310","1340237.0000","0.0399","0.0399","0.0275"
"2016/03/21","0.0394","239818.0000","0.0352","0.0399","0.0350"
"2016/03/18","0.0380","366917.0000","0.0362","0.0400","0.0345"
"2016/03/17","0.0370","236714.0000","0.0360","0.0400","0.0340"
"2016/03/16","0.0380","163824.0000","0.0400","0.0400","0.0350"
"2016/03/15","0.0400","345160.0000","0.0390","0.0400","0.0365"
"2016/03/14","0.0380","177210.0000","0.0360","0.0400","0.0350"
"2016/03/11","0.0380","937424.0000","0.0344","0.0390","0.0311"
"2016/03/10","0.0344","208263.0000","0.0328","0.0344","0.0320"
"2016/03/09","0.0335","520060.0000","0.0320","0.0335","0.0320"
"2016/03/08","0.0335","527637.0000","0.0320","0.0345","0.0320"
"2016/03/07","0.0342","486014.0000","0.0330","0.0345","0.0320"
"2016/03/04","0.0336","696845.0000","0.0340","0.0345","0.0320"
"2016/03/03","0.0336","1314696.0000","0.0342","0.0360","0.0330"
"2016/03/02","0.0370","1211590.0000","0.0399","0.0400","0.0342"
"2016/03/01","0.0389","246896.0000","0.0365","0.0400","0.0365"
"2016/02/29","0.0378","520035.0000","0.0370","0.0400","0.0350"
"2016/02/26","0.0385","427508.0000","0.0342","0.0389","0.0342"
"2016/02/25","0.0342","1208802.0000","0.0348","0.0370","0.0340"
"2016/02/24","0.0340","333070.0000","0.0348","0.0355","0.0320"
"2016/02/23","0.0325","592106.0000","0.0331","0.0384","0.0320"
"2016/02/22","0.0341","102707.0000","0.0352","0.0400","0.0330"
"2016/02/19","0.0330","1366670.0000","0.0390","0.0393","0.0320"
"2016/02/18","0.0395","1164438.0000","0.0452","0.0499","0.0363"
"2016/02/17","0.0452","317332.0000","0.0457","0.0500","0.0440"
"2016/02/16","0.0460","516137.0000","0.0460","0.0520","0.0430"
"2016/02/12","0.0490","361126.0000","0.0480","0.0490","0.0430"
"2016/02/11","0.0480","683031.0000","0.0535","0.0535","0.0480"
"2016/02/10","0.0530","1146687.0000","0.0490","0.0530","0.0408"
"2016/02/09","0.0497","1517661.0000","0.0350","0.0500","0.0350"
"2016/02/08","0.0380","498223.0000","0.0345","0.0380","0.0320"
"2016/02/05","0.0352","1000809.0000","0.0355","0.0369","0.0320"
"2016/02/04","0.0362","838145.0000","0.0370","0.0370","0.0350"
"2016/02/03","0.0380","1264767.0000","0.0330","0.0380","0.0320"
"2016/02/02","0.0370","1170578.0000","0.0360","0.0370","0.0330"
"2016/02/01","0.0370","995550.0000","0.0340","0.0385","0.0320"
"2016/01/29","0.0369","305463.0000","0.0330","0.0369","0.0330"
"2016/01/28","0.0369","450641.0000","0.0355","0.0370","0.0350"
"2016/01/27","0.0360","603090.0000","0.0350","0.0365","0.0342"
"2016/01/26","0.0352","1074096.0000","0.0350","0.0370","0.0342"
"2016/01/25","0.0340","533920.0000","0.0340","0.0370","0.0340"
"2016/01/22","0.0340","481469.0000","0.0350","0.0355","0.0330"
"2016/01/21","0.0355","1845951.0000","0.0355","0.0370","0.0325"
"2016/01/20","0.0341","1664789.0000","0.0370","0.0400","0.0310"
"2016/01/19","0.0337","3109286.0000","0.0430","0.0500","0.0331"
"2016/01/15","0.0466","2176809.0000","0.0403","0.0510","0.0400"
"2016/01/14","0.0488","2374471.0000","0.0412","0.0500","0.0412"
"2016/01/13","0.0412","1299147.0000","0.0400","0.0440","0.0350"
"2016/01/12","0.0400","2072911.0000","0.0361","0.0435","0.0351"
"2016/01/11","0.0361","6250326.0000","0.0459","0.0500","0.0280"
"2016/01/08","0.0535","10338510.0000","0.0830","0.1180","0.0535"
"2016/01/07","0.0830","4547344.0000","0.0670","0.0870","0.0600"
"2016/01/06","0.0780","5608428.0000","0.0432","0.0780","0.0410"
"2016/01/05","0.0419","4309189.0000","0.0270","0.0470","0.0260"
"2016/01/04","0.0290","1224186.0000","0.0230","0.0290","0.0225"
"2015/12/31","0.0230","1470813.0000","0.0230","0.0265","0.0230"
"2015/12/30","0.0265","1510667.0000","0.0227","0.0278","0.0215"
"2015/12/29","0.0231","1784811.0000","0.0230","0.0240","0.0202"
"2015/12/28","0.0210","1240729.0000","0.0230","0.0240","0.0210"
"2015/12/24","0.0240","557646.0000","0.0204","0.0250","0.0200"
"2015/12/23","0.0205","971343.0000","0.0236","0.0261","0.0204"
"2015/12/22","0.0242","882780.0000","0.0252","0.0265","0.0200"
"2015/12/21","0.0260","2931389.0000","0.0210","0.0295","0.0165"
"2015/12/18","0.0203","3366091.0000","0.0260","0.0350","0.0200"
"2015/12/17","0.0261","897199.0000","0.0250","0.0300","0.0230"
"2015/12/16","0.0299","2630483.0000","0.0295","0.0319","0.0210"
"2015/12/15","0.0310","1115106.0000","0.0367","0.0367","0.0310"
"2015/12/14","0.0345","735314.0000","0.0370","0.0390","0.0340"
"2015/12/11","0.0375","951579.0000","0.0380","0.0390","0.0350"
"2015/12/10","0.0385","1235010.0000","0.0372","0.0400","0.0365"
"2015/12/09","0.0372","759621.0000","0.0365","0.0390","0.0360"
"2015/12/08","0.0375","1328617.0000","0.0385","0.0420","0.0360"
"2015/12/07","0.0400","1653979.0000","0.0425","0.0436","0.0400"
"2015/12/04","0.0423","1217765.0000","0.0440","0.0479","0.0411"
"2015/12/03","0.0478","459078.0000","0.0450","0.0484","0.0440"
"2015/12/02","0.0460","325008.0000","0.0480","0.0500","0.0440"
"2015/12/01","0.0500","1095107.0000","0.0466","0.0500","0.0440"
"2015/11/30","0.0482","987722.0000","0.0470","0.0500","0.0430"
"2015/11/27","0.0480","229688.0000","0.0500","0.0500","0.0470"
"2015/11/25","0.0500","682601.0000","0.0480","0.0510","0.0460"
"2015/11/24","0.0500","820777.0000","0.0475","0.0540","0.0475"
"2015/11/23","0.0493","1030576.0000","0.0470","0.0502","0.0457"
"2015/11/20","0.0490","506267.0000","0.0467","0.0499","0.0467"
"2015/11/19","0.0485","2285390.0000","0.0512","0.0512","0.0456"
"2015/11/18","0.0512","512554.0000","0.0596","0.0625","0.0512"
"2015/11/17","0.0551","635002.0000","0.0550","0.0625","0.0548"
"2015/11/16","0.0580","423454.0000","0.0600","0.0650","0.0550"
"2015/11/13","0.0600","488178.0000","0.0630","0.0680","0.0600"
"2015/11/12","0.0655","351127.0000","0.0570","0.0700","0.0570"
"2015/11/11","0.0600","852589.0000","0.0620","0.0650","0.0580"
"2015/11/10","0.0630","734586.0000","0.0620","0.0700","0.0610"
"2015/11/09","0.0630","2180941.0000","0.0700","0.0735","0.0570"
"2015/11/06","0.0700","542477.0000","0.0710","0.0750","0.0700"
"2015/11/05","0.0720","595857.0000","0.0800","0.0830","0.0720"
"2015/11/04","0.0751","737417.0000","0.0700","0.0790","0.0699"
"2015/11/03","0.0765","545189.0000","0.0710","0.0800","0.0700"
"2015/11/02","0.0701","572308.0000","0.0718","0.0720","0.0700"
"2015/10/30","0.0720","493672.0000","0.0779","0.0779","0.0710"
"2015/10/29","0.0760","419685.0000","0.0790","0.0800","0.0740"
"2015/10/28","0.0780","323646.0000","0.0740","0.0800","0.0730"
"2015/10/27","0.0740","458638.0000","0.0760","0.0800","0.0730"
"2015/10/26","0.0760","630316.0000","0.0780","0.0814","0.0760"
"2015/10/23","0.0780","1243191.0000","0.0801","0.0857","0.0775"
"2015/10/22","0.0839","695017.0000","0.0855","0.0869","0.0800"
"2015/10/21","0.0860","478444.0000","0.0870","0.0920","0.0855"
"2015/10/20","0.0880","837911.0000","0.0900","0.0950","0.0870"
"2015/10/19","0.0950","701916.0000","0.0940","0.0965","0.0901"
"2015/10/16","0.0950","505037.0000","0.0960","0.1004","0.0930"
"2015/10/15","0.1020","525902.0000","0.1050","0.1125","0.0960"
"2015/10/14","0.1050","1953920.0000","0.1130","0.1140","0.1040"
